Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Sienna,2004,138253,Foreign Used, 4515000,6,3000.0, 4.50,gold
Toyota,Highlander,2017,71533,Foreign Used, 24030000,6,1000.0, 4.40,black
Honda,Accord,2015,59350,Locally Used, 8830000,6,5900.0, 3.50,White
Toyota,Highlander,2008,88136,Locally Used, 6030000,6,5900.0, 3.50,Grey
Mercedes-Benz,C 300,2010,146300,Foreign Used, 6815000,6,, 4.40,Red
Mercedes-Benz,E 350,2010,58109,Foreign Used, 6515000,4,2000.0, 4.00,black
Lexus,RX 350,2011,88384,Foreign Used, 11530000,6,3500.0, 4.40,black
Toyota,Highlander,2014,56512,Foreign Used, 15515000,6,, 4.40,black
Toyota,Highlander,2009,85419,Foreign Used, 9015000,6,1000.0, 4.40,Silver
Honda,Accord,2013,138860,Foreign Used, 7830000,6,5900.0, 4.30,Grey
Mercedes-Benz,E 350,2012,167325,Foreign Used, 9530000,6,1500.0, 4.20,black
Mercedes-Benz,E 350,2010,84215,Foreign Used, 7765000,6,1000.0, 4.40,White
Toyota,RAV 4,2007,54662,Foreign Used, 5515000,6,, 4.30,Silver
Toyota,Camry,2016,64031,Locally Used, 8315000,6,, 3.40,Silver
Lexus,GX 460,2011,87268,Foreign Used, 18115000,8,3500.0, 4.00,sliver
Toyota,Highlander,2018,20926,Locally Used, 21545000,6,3500.0, 4.00,Green
Toyota,Venza,2009,84998,Foreign Used, 8515000,6,1000.0, 4.40,Grey
Toyota,Corolla,2015,68966,Foreign Used, 8130000,4,2000.0, 4.50,black
Toyota,Sienna,2007,86963,Foreign Used, 5780000,6,2500.0, 4.50,Silver
Toyota,Sienna,2013,96328,Foreign Used, 8130000,6,2500.0, 4.50,Red
Honda,Accord,2014,96760,Foreign Used, 7030000,4,2000.0, 4.40,White
Toyota,Camry,2012,124998,Foreign Used, 7530000,4,1500.0, 4.40,Silver
Land Rover,Range Rover,2014,44492,Foreign Used, 35030000,6,1500.0, 4.40,White
Toyota,Highlander,2018,72807,Foreign Used, 23015000,6,3300.0, 4.20,Grey
Toyota,RAV 4,2010,99583,Foreign Used, 7015000,4,, 4.40,Green
Land Rover,Range Rover,2013,150599,Foreign Used, 30015000,8,, 4.30,black
Toyota,Camry,2012,62567,Foreign Used, 6615000,4,2000.0, 4.40,Grey
Lexus,RX 350,2010,89975,Foreign Used, 11530000,6,3500.0, 4.40,Grey
Lexus,RX 350,2015,106430,Foreign Used, 14830000,6,3500.0, 4.20,wine
Honda,Accord,2014,62355,Foreign Used, 7030000,4,2400.0, 4.40,black
Toyota,Hilux,2018,30341,Foreign Used, 32515000,4,2400.0, 4.40,White
Toyota,Camry,2010,58667,Foreign Used, 5815000,4,, 4.30,Silver
Toyota,Corolla,2007,82879,Foreign Used, 3915000,4,, 4.50,black
Toyota,Corolla,2005,73491,Foreign Used, 3915000,4,, 4.50,gold
Toyota,Corolla,2013,85042,Foreign Used, 6215000,4,3000.0, 4.30,ash
Mercedes-Benz,E 350,2010,142730,Foreign Used, 7915000,6,3300.0, 4.00,Grey
