Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Camry,2007,0,Foreign Used, 4445000,4,, 4.00,Silver
Toyota,Tundra,2010,210604,Foreign Used, 9506000,8,, 4.00,Red
Toyota,Highlander,2016,68987,Foreign Used, 15840000,6,, 4.00,maroon
Mercedes-Benz,GLE 350,2016,42210,Foreign Used, 25020000,6,, 4.40,White
Lexus,RX 350,2013,74653,Foreign Used, 12270000,6,, 4.00,White
Lexus,RX 350,2010,94554,Foreign Used, 9815000,6,, 4.50,black
Toyota,Camry,2013,21748,Foreign Used, 6519000,4,, 4.00,Red
Toyota,Camry,2013,147643,Locally Used, 4815000,4,1000.0, 3.20,Grey
Toyota,Corolla,2008,96589,Foreign Used, 4230000,4,1500.0, 4.50,Grey
Toyota,Sienna,2006,147404,Locally Used, 5280000,6,, 4.40,Grey
Toyota,RAV 4,2009,129000,Foreign Used, 7240000,6,, 4.40,White
Toyota,Camry,2013,141944,Locally Used, 5115000,4,, 3.20,black
Lexus,ES 350,2013,48220,Foreign Used, 13515000,6,, 4.20,Silver
Pontiac,Vibe,2009,0,Foreign Used, 4440000,4,3000.0, 4.40,black
Toyota,Sienna,2006,85881,Foreign Used, 4815000,6,, 4.50,Grey
Toyota,Highlander,2011,53214,Foreign Used, 10215000,6,, 4.00,Grey
Toyota,Sienna,2015,115384,Foreign Used, 14515000,6,3500.0, 4.00,ash
Toyota,4-Runner,2006,102571,Locally Used, 6725000,6,, 4.40,Red
Toyota,Corolla,2010,194955,Foreign Used, 5315000,4,1800.0, 4.10,Blue
Toyota,Corolla,2010,208720,Foreign Used, 5365000,4,1800.0, 4.00,Red
Toyota,Tacoma,2010,126604,Foreign Used, 11515000,6,, 4.40,Grey
Toyota,Tacoma,2006,87607,Foreign Used, 10015000,6,, 4.00,Red
Lexus,IS 250,2014,44597,Foreign Used, 13015000,6,2500.0, 4.30,White
Toyota,Hilux,2022,10,Brand New, 38230000,4,2000.0,,black
Toyota,Tacoma,2008,126412,Foreign Used, 10015000,6,, 4.20,Grey
Toyota,Hilux,2009,335817,Foreign Used, 10515000,4,, 4.20,White
Mitsubishi,L200,2021,1179,Locally Used, 24015000,4,, 3.50,White
Honda,Accord,2012,174778,Foreign Used, 5015000,4,, 4.00,Grey
Honda,Crosstour,2013,168249,Foreign Used, 7845000,6,, 4.30,Silver
Toyota,Sienna,2013,70609,Foreign Used, 7961000,6,, 4.40,White
Toyota,Corolla,2009,75709,Foreign Used, 5015000,4,1800.0, 4.20,Grey
Toyota,Corolla,2017,112004,Foreign Used, 10615000,4,, 4.00,Green
Toyota,Highlander,2010,75649,Foreign Used, 10015000,6,, 4.30,White
Ford,Edge TIT. 3.5L,2016,89016,Foreign Used, 12415000,6,3300.0, 4.40,Grey
Toyota,Sienna,2011,34838,Foreign Used, 10230000,6,, 4.30,Grey
Mercedes-Benz,E 350,2013,78147,Foreign Used, 12015000,6,, 4.30,Grey
Toyota,Solara,2007,185652,Foreign Used, 4115000,6,, 4.00,Red
Toyota,Highlander,2016,97761,Foreign Used, 16730000,6,1000.0, 4.20,Grey
Toyota,Tacoma,2011,83510,Foreign Used, 12530000,6,1000.0, 4.20,Grey
Toyota,Highlander,2014,102291,Foreign Used, 16015000,6,3500.0, 4.30,Blue
Toyota,Sienna,2009,87955,Foreign Used, 4730000,6,6000.0, 4.30,Green
Toyota,Camry,2005,185802,Foreign Used, 4515000,4,, 4.00,Grey
Lexus,RX 330,2004,85650,Foreign Used, 6780000,6,2500.0, 4.40,black
Toyota,Hilux,2021,71,Brand New, 39795000,4,,,White
Toyota,Hilux,2021,98,Brand New, 39795000,4,,,black
Toyota,Hilux,2021,446,Brand New, 39795000,4,,,White
Toyota,Camry,2011,102517,Foreign Used, 6210000,6,1000.0, 4.30,Silver
Toyota,Highlander,2012,195893,Foreign Used, 11015000,6,, 4.00,White
Toyota,Sienna,2015,79882,Foreign Used, 16315000,6,, 4.30,beige
Hyundai,Sonata,2013,298167,Foreign Used, 5115000,4,1000.0, 4.20,Grey
Hyundai,Sonata,2014,244934,Foreign Used, 5265000,4,1000.0, 4.20,Grey
Hyundai,Sonata,2013,98539,Foreign Used, 5015000,4,4000.0, 4.00,Grey
Toyota,Corolla,2010,75218,Foreign Used, 4900500,4,, 4.00,black
Toyota,Venza,2011,77664,Foreign Used, 8515000,4,, 4.30,Silver
Toyota,Corolla,2015,14279,Foreign Used, 7330000,4,2500.0, 4.00,Green
Toyota,Camry,2012,213068,Foreign Used, 7730000,4,, 4.00,Blue
Toyota,RAV 4,2009,113857,Foreign Used, 6815000,6,, 4.00,Blue
Toyota,Camry,2009,68957,Foreign Used, 4715000,4,2400.0, 4.10,black
Mercedes-Benz,ML 350,2013,85235,Foreign Used, 15045000,6,3500.0, 4.00,black
Toyota,Corolla,2015,169808,Foreign Used, 7215000,4,, 4.00,Blue
Lexus,GX 460,2020,211,Brand New, 60515000,8,,,black
Toyota,Tacoma,2020,78,Brand New, 30615000,6,,,Silver
Lexus,ES 330,2006,85243,Foreign Used, 4730000,6,3500.0, 4.50,Silver
Honda,Civic,2006,92122,Foreign Used, 3215000,4,1800.0, 4.00,Blue
Toyota,RAV 4,2015,98442,Foreign Used, 12015000,4,2000.0, 4.40,black
Toyota,Venza,2009,148035,Foreign Used, 10530000,6,, 4.10,White
Lexus,RX 330,2004,200000,Foreign Used, 6975000,6,, 4.30,black
Lexus,RX 350,2014,67553,Foreign Used, 15795000,6,, 4.00,Blue
Toyota,RAV 4,2019,34006,Foreign Used, 24515000,4,2000.0, 4.50,Grey
Toyota,Corolla,2009,85221,Locally Used, 3330000,4,1000.0, 3.30,Grey
Lexus,GX 460,2010,7306,Foreign Used, 20015000,6,4000.0, 4.50,black
Lexus,RX 350,2013,116295,Foreign Used, 14465000,6,, 4.40,White
Mercedes-Benz,ML 350,2014,134932,Foreign Used, 11515000,6,, 4.10,black
Mercedes-Benz,GLK 350,2012,90710,Foreign Used, 11530000,6,1000.0, 4.30,Silver
Mercedes-Benz,GLK 350,2011,98624,Foreign Used, 11015000,6,1000.0, 4.00,Grey
Toyota,Venza,2013,67729,Foreign Used, 12515000,6,1000.0, 4.00,Silver
Toyota,Highlander,2006,206567,Foreign Used, 5715000,6,, 4.30,Grey
Ford,Edge,2007,105634,Foreign Used, 4035000,6,3000.0, 3.30,White
Lexus,RX 350,2013,199373,Foreign Used, 13015000,6,, 4.00,White
Lexus,RX 350,2013,121652,Foreign Used, 13515000,6,6000.0, 4.40,Silver
Mercedes-Benz,ML 350,2008,162604,Foreign Used, 7015000,6,, 4.40,Blue
Toyota,Highlander,2010,91877,Foreign Used, 7755000,6,, 4.40,White
Lexus,RX 350,2010,36159,Foreign Used, 11015000,6,, 4.00,Grey
Toyota,Venza,2015,81175,Foreign Used, 12015000,6,1000.0, 4.00,Blue
Toyota,Camry,2008,156000,Locally Used, 2930000,4,2000.0, 3.20,gold
Hyundai,Elantra,2016,146589,Foreign Used, 6015000,4,1000.0, 4.00,Blue
Toyota,Camry,2007,74500,Foreign Used, 4415000,4,, 4.20,black
Lexus,RX 350,2009,63744,Foreign Used, 7965000,6,, 4.20,black
Lexus,ES 350,2013,150048,Foreign Used, 10015000,6,, 4.10,White
Toyota,Highlander,2012,108423,Foreign Used, 11015000,6,2000.0, 4.50,black
Toyota,Camry,2012,131316,Foreign Used, 7315000,4,, 4.00,Grey
Toyota,Tacoma,2017,204790,Foreign Used, 18015000,6,, 4.00,black
Lexus,RX 350,2016,35152,Foreign Used, 24030000,6,1000.0, 4.00,gold
Toyota,Camry,2007,109583,Foreign Used, 4215000,4,4000.0, 4.30,gold
Toyota,Corolla,2020,16543,Foreign Used, 16515000,4,2500.0, 4.40,Silver
Mitsubishi,Pajero,2020,261,Brand New, 29885000,6,,,black
Hyundai,Elantra,2012,180748,Foreign Used, 4815000,4,1000.0, 4.30,Grey
Toyota,Highlander,2013,76254,Locally Used, 12515000,6,, 3.30,black
Toyota,Corolla,2009,240450,Foreign Used, 5215000,4,1000.0, 4.00,gold
Toyota,Highlander,2013,86000,Foreign Used, 12030000,6,3000.0, 4.40,black
Toyota,Sienna,2015,90574,Foreign Used, 13015000,6,3500.0, 4.00,White
Nissan,Altima,2019,21156,Foreign Used, 18530000,4,, 4.30,Grey
Lexus,ES 350,2014,67155,Foreign Used, 11015000,6,5000.0, 4.40,Silver
Toyota,RAV 4,2009,75836,Locally Used, 7515000,4,, 4.40,Red
Lexus,IS 250,2015,98875,Foreign Used, 10015000,6,, 4.30,black
Kia,Rio,2012,131793,Locally Used, 2015000,4,, 3.10,Grey
Toyota,Venza,2013,172079,Foreign Used, 12615000,4,1000.0, 4.20,Silver
Nissan,Murano,2010,98110,Foreign Used, 4765000,6,, 4.50,Blue
Mercedes-Benz,GLA 250,2019,54643,Foreign Used, 19615000,4,, 4.20,black
Toyota,Camry,2020,34864,Foreign Used, 20130000,4,, 4.20,White
Toyota,Camry,2010,96000,Locally Used, 5465000,4,2000.0, 4.00,Grey
Honda,Pilot,2011,103755,Foreign Used, 5715000,6,, 4.50,Red
Mercedes-Benz,GLE 350,2016,55000,Foreign Used, 25030000,6,5000.0, 4.00,black
Toyota,Venza,2011,145556,Foreign Used, 8745000,4,4000.0, 4.30,White
Toyota,Corolla,2009,180008,Locally Used, 2865000,4,2000.0, 3.10,black
Toyota,RAV 4,2014,172196,Foreign Used, 10030000,4,, 4.30,Grey
Volkswagen,Golf,2006,109523,Locally Used, 3030000,6,, 3.90,Silver
Lexus,ES 350,2010,110388,Foreign Used, 6815000,6,, 4.00,Grey
Toyota,RAV 4,2012,112589,Foreign Used, 7515000,4,4000.0, 4.30,black
Lexus,RX 350,2019,27179,Foreign Used, 26865000,6,3000.0, 4.50,Grey
Mercedes-Benz,GLK 350,2012,83035,Foreign Used, 9545000,6,2500.0, 4.00,black
Kia,Sorento 3.5l EX,2022,0,Brand New, 32415000,6,,,White
Kia,Sorento,2022,0,Brand New, 32430000,6,,,White
Kia,Sportage,2022,0,Brand New, 27105000,4,,,black
Kia,Rio,2022,0,Brand New, 14415000,4,,,Blue
Kia,Cerato,2022,0,Brand New, 19815000,4,,,black
Land Rover,Range Rover,2018,44547,Foreign Used, 64515000,6,6000.0, 4.50,black
Ford,Edge TIT. 3.5L,2016,113023,Foreign Used, 10330000,6,, 4.00,White
Mercedes-Benz,GLK 350,2013,126925,Foreign Used, 10815000,6,3300.0, 4.00,White
Toyota,Highlander,2015,91463,Foreign Used, 16515000,6,, 4.50,brown
Lexus,ES 350,2010,174606,Foreign Used, 6530000,6,, 4.00,Grey
Toyota,Camry,2005,98000,Locally Used, 3330000,4,2000.0, 3.90,gold
Toyota,Highlander,2006,161832,Foreign Used, 6315000,6,2000.0, 4.00,black
Mercedes-Benz,E 350,2014,107895,Foreign Used, 10830000,6,6000.0, 4.50,black
Nissan,Sentra,2014,57949,Foreign Used, 6830000,4,, 4.20,black
Toyota,Hilux,2022,675,Brand New, 33445000,4,2000.0,,White
Kia,Sorento 3.5l EX,2021,0,Brand New, 26115000,6,,,black
Kia,Sorento 3.5l EX,2021,0,Brand New, 23415000,6,,,black
Kia,Sportage,2021,0,Brand New, 17835000,4,,,Red
Kia,Optima,2021,0,Brand New, 16215000,2,,,White
Kia,Cerato,2021,0,Brand New, 15027000,2,,,White
Kia,Rio,2021,0,Brand New, 10095000,2,,,White
Toyota,Highlander,2011,95983,Foreign Used, 11865000,6,3000.0, 4.00,Grey
Mitsubishi,Pajero,2022,0,Brand New, 27015000,4,,,Silver
JAC,Frison T6 4x4,2020,0,Brand New, 15915000,6,,,Silver
JAC,Frison T6 4x4,2020,0,Brand New, 14915000,6,,,Silver
JAC,Frison T6 4x4,2020,0,Brand New, 14515000,6,,,White
Ford,Ranger D/C,2022,0,Brand New, 19902500,4,,,brown
Ford,Ranger D/C,2020,0,Brand New, 17752500,4,,,White
Ford,Ranger D/C,2020,0,Brand New, 13275000,2,,,black
Ford,Edge TIT. 3.5L,2020,0,Brand New, 29175000,4,,,Silver
Toyota,Coaster,2020,0,Brand New, 48515000,6,,,White
Toyota,Coaster,2020,0,Brand New, 46015000,6,,,White
Toyota,Yaris,2020,0,Brand New, 9515000,4,,,Blue
Toyota,Camry,2011,108915,Foreign Used, 5530000,4,2000.0, 4.00,Grey
Lexus,GX 460,2020,0,Brand New, 58015000,8,,,Grey
Toyota,Hilux,2020,0,Brand New, 28515000,6,,,Red
Toyota,Hilux,2020,0,Brand New, 38015000,6,,,Red
Toyota,Hilux,2021,0,Brand New, 36015000,6,,,White
Toyota,Hiace,2020,0,Brand New, 26015000,4,,,White
Toyota,Corolla,2020,0,Brand New, 20515000,4,,,White
Toyota,Corolla,2020,0,Brand New, 19515000,4,,,White
Toyota,Camry,2019,0,Brand New, 28015000,6,,,Red
Toyota,Camry,2019,0,Brand New, 24015000,4,,,Blue
Toyota,Coaster,2019,0,Brand New, 48515000,6,,,White
Toyota,Corolla,2019,0,Brand New, 16515000,4,,,White
Toyota,Hilux,2020,0,Brand New, 23015000,6,,,White
Toyota,Hiace,2019,0,Brand New, 25515000,4,,,Blue
Toyota,Camry,2019,0,Brand New, 36515000,6,,,Silver
Dodge,Durango,2019,66,Brand New, 33015000,6,,,black
Toyota,Corolla,2013,97652,Foreign Used, 6330000,4,1000.0, 4.00,Blue
Toyota,Corolla,2016,185426,Foreign Used, 8015000,6,, 4.00,Silver
Toyota,Camry,2011,65560,Foreign Used, 6030000,4,1000.0, 4.00,yellow
Mercedes-Benz,C 300,2015,99367,Foreign Used, 13545000,4,4000.0, 4.50,Grey
Hyundai,Santa Fe,2013,148752,Foreign Used, 9015000,6,3300.0, 0.00,Silver
Toyota,Corolla,2015,139552,Foreign Used, 8515000,4,2400.0, 0.00,Grey
Lexus,GX 460,2015,97777,Foreign Used, 26530000,8,4600.0, 0.00,Silver
Honda,Ridgeline,2010,85000,Foreign Used, 6515000,6,1000.0, 0.00,Red
Mercedes-Benz,E 350,2014,213468,Foreign Used, 12515000,6,1000.0, 0.00,Grey
Toyota,Corolla,2016,111502,Foreign Used, 8015000,4,4000.0, 0.00,Silver
Land Rover,Range Rover,2014,72556,Locally Used, 23015000,6,6000.0, 0.00,black
Toyota,Sienna,2008,121333,Foreign Used, 5815000,6,3000.0, 0.00,gold
Toyota,Matrix,2005,97523,Foreign Used, 3880000,4,1500.0, 0.00,Silver
Lexus,RX 330,2004,78874,Foreign Used, 6130000,6,6000.0, 0.00,black
Mazda,CX-7,2011,156904,Foreign Used, 5030000,6,, 0.00,purple
Toyota,RAV 4,2010,124382,Foreign Used, 6930000,4,, 0.00,Grey
Mercedes-Benz,GLE 350,2017,51283,Foreign Used, 25530000,6,3000.0, 0.00,Blue
Mercedes-Benz,GLK 350,2010,97814,Foreign Used, 8530000,6,, 0.00,Grey
Toyota,Camry,2013,104930,Foreign Used, 7315000,4,2500.0, 0.00,Silver
Mercedes-Benz,GLK 350,2012,54862,Locally Used, 11515000,4,3500.0, 0.00,Red
Toyota,Camry,2012,55313,Foreign Used, 8530000,6,, 3.30,black
Toyota,RAV 4,2007,101000,Foreign Used, 5915000,6,1000.0, 0.00,Grey
Toyota,Camry,2006,98589,Foreign Used, 3360000,6,, 0.00,Red
Toyota,Highlander,2005,202342,Foreign Used, 5015000,6,, 0.00,Blue
Lexus,RX 330,2006,195234,Foreign Used, 6515000,6,1000.0, 0.00,White
Honda,Civic,2011,89883,Foreign Used, 4060000,4,, 0.00,Red
Toyota,Highlander,2011,88502,Foreign Used, 12030000,6,1000.0, 0.00,gold
Honda,Pilot,2006,110470,Foreign Used, 4315000,6,, 0.00,Green
Volkswagen,Golf,2012,120470,Foreign Used, 3245000,5,, 0.00,Blue
Toyota,RAV 4,2010,52345,Foreign Used, 5895000,4,2500.0, 0.00,Silver
Hyundai,Sonata,2015,138357,Foreign Used, 7730000,4,2400.0, 0.00,sliver
Toyota,Venza,2014,15236,Foreign Used, 9045000,4,2000.0, 0.00,Silver
Honda,CR-V,2009,85243,Foreign Used, 5015000,4,1800.0, 0.00,black
Lexus,RX 350,2007,105067,Foreign Used, 6730000,6,, 0.00,Silver
Toyota,RAV 4,2009,45231,Foreign Used, 5830000,6,3000.0, 0.00,Grey
Toyota,Venza,2012,41027,Foreign Used, 8030000,4,2400.0, 0.00,White
Toyota,Sequoia,2012,166760,Foreign Used, 14530000,8,, 0.00,Silver
Toyota,4-Runner,2012,78333,Foreign Used, 17064000,8,, 0.00,black
Hyundai,Sonata,2011,96598,Foreign Used, 5015000,4,3000.0, 0.00,Blue
Toyota,Corolla,2006,144307,Foreign Used, 3705000,4,, 0.00,Grey
Toyota,Camry,2010,104632,Locally Used, 4130000,4,, 4.30,Grey
Toyota,Camry,2008,95411,Foreign Used, 3774000,4,, 0.00,Blue
Toyota,Corolla,2012,162970,Locally Used, 2830000,4,, 2.90,gold
Lexus,RX 350,2014,73960,Foreign Used, 12270000,6,6000.0, 0.00,beige
Lexus,RX 330,2004,213521,Locally Used, 2730000,,3500.0,,Silver
Toyota,Highlander,2005,235145,Locally Used, 1890000,,3500.0,,Silver
Toyota,Corolla,2002,405472,Locally Used, 1050000,,1800.0,,black
Ford,Edge,2008,290102,Locally Used, 1275000,,3500.0,,Grey
Ford,Edge,2014,76565,Locally Used, 3675000,,3500.0,,black
Kia,Rio,2012,34062,Locally Used, 1260000,,1400.0,,Blue
Toyota,Corolla,2012,232372,Locally Used, 2100000,,1800.0,,Silver
Honda,Civic,2007,147631,Locally Used, 1554000,,1300.0,,Silver
Toyota,Camry,2009,125817,Locally Used, 2415000,,2400.0,,Silver
Honda,City,2007,357519,Locally Used, 945000,,1600.0,,Grey
Lexus,IS,2009,208056,Locally Used, 3360000,6.0,2500.0,,black
Volkswagen,Polo,2013,130829,Locally Used, 1890000,,1600.0,,Silver
Toyota,Corolla,2008,94247,Locally Used, 1785000,,1400.0,,Green
Toyota,Camry,2013,160031,Foreign Used, 7072000,,2500.0,,White
Toyota,Camry,2007,174500,Locally Used, 3640000,,2400.0,,black
Toyota,Camry,2013,279751,Foreign Used, 8320000,,2500.0,,Blue
Hyundai,Sonata,2015,94415,Locally Used, 6448000,,2400.0,,Silver
Toyota,Camry,2013,65092,Locally Used, 6032000,,3500.0,,Silver
Nissan,Sentra,2015,149953,Foreign Used, 5775000,4.0,1800.0,,Silver
Toyota,Camry,2007,213417,Locally Used, 3328000,,2400.0,,Silver
Lexus,RX 350,2008,108033,Locally Used, 5200000,,3500.0,,Blue
Toyota,Camry,2013,104763,Foreign Used, 6595000,,2800.0,,black
Toyota,Corolla,2009,332522,Locally Used, 3640000,,1800.0,,Silver
Toyota,Camry,2007,134287,Locally Used, 3120000,,2400.0,,black
Toyota,Camry,2011,226347,Foreign Used, 4410000,,2500.0,,Grey
Toyota,Highlander,2011,240911,Locally Used, 8944000,,3500.0,,White
Toyota,Camry,2007,91621,Locally Used, 3744000,,3500.0,,Silver
Lexus,GS,2006,264049,Locally Used, 3328000,8.0,3000.0,,black
Lexus,RX 350,2008,108033,Locally Used, 5200000,,3500.0,,Blue
Toyota,Sienna,2004,235494,Locally Used, 3328000,,3300.0,,White
Hyundai,Sonata,2015,116235,Locally Used, 5720000,,1800.0,,Silver
Toyota,Camry,2014,311658,Foreign Used, 8400000,,3500.0,,Silver
Toyota,Tundra,2011,311514,Locally Used, 11550000,,5700.0,,Grey
Hyundai,Sonata,2015,94415,Locally Used, 6448000,,2400.0,,Silver
Lexus,ES,2011,229610,Locally Used, 5720000,,3500.0,,Silver
Lexus,IS,2007,107448,Locally Used, 3640000,,2500.0,,Grey
Toyota,Highlander,2001,284208,Locally Used, 3640000,,3000.0,,Silver
Hyundai,Sonata,2011,119874,Locally Used, 3150000,,2400.0,,White
Toyota,Camry,2005,395002,Foreign Used, 3640000,,2400.0,,Silver
Lexus,RX 350,2010,166230,Foreign Used, 9450000,,3400.0,,Grey
Acura,TL,2010,287146,Locally Used, 3640000,,3500.0,,White
Land Rover,Range Rover,2011,100097,Locally Used, 10920000,,3500.0,,black
Toyota,Sienna,2005,307224,Foreign Used, 4888000,,3300.0,,gold
Toyota,Highlander,2015,79850,Locally Used, 14560000,,3500.0,,black
Toyota,Corolla,2012,78077,Locally Used, 3360000,,1800.0,,black
Mercedes-Benz,E350,2013,79024,Locally Used, 5250000,,3500.0,,black
Toyota,Camry,2007,322278,Locally Used, 3852000,,3500.0,,Grey
Mercedes-Benz,GLK-Class,2010,201186,Foreign Used, 8400000,,3500.0,,black
Mercedes-Benz,M Class,2008,152843,Locally Used, 4160000,6.0,3500.0,,Grey
Toyota,Camry,2005,395002,Foreign Used, 3640000,,2400.0,,Silver
Lexus,GX,2006,168388,Locally Used, 6760000,,4200.0,,black
Lexus,ES,2007,100121,Locally Used, 4264000,,3500.0,,Blue
Mercedes-Benz,M Class,2006,224160,Locally Used, 3952000,,3500.0,,Red
Land Rover,Range Rover,2014,88,Locally Used, 28200000,,3000.0,,gold
Toyota,Highlander,2006,201583,Locally Used, 3120000,,3300.0,,gold
Acura,MDX,2007,154459,Locally Used, 4740000,6.0,3700.0,,Green
Toyota,Venza,2009,165972,Locally Used, 6760000,6.0,3500.0,,purple
Lexus,ES,2007,252761,Locally Used, 3850000,6.0,3500.0,,White
Hyundai,Sonata,2013,177629,Foreign Used, 6240000,4.0,2400.0,,Blue
Toyota,Venza,2013,110458,Foreign Used, 10500000,,3500.0,,black
Toyota,Camry,2013,65092,Locally Used, 6032000,,3500.0,,Silver
Lexus,GS,2006,160742,Locally Used, 3328000,6.0,3500.0,,Blue
Mercedes-Benz,M Class,2011,137469,Foreign Used, 7875000,,3500.0,,White
Toyota,Highlander,2015,79850,Locally Used, 14560000,,3500.0,,black
Acura,RDX,2008,269438,Foreign Used, 4410000,4.0,2300.0,,black
Toyota,Venza,2013,77364,Foreign Used, 11960000,,3500.0,,Silver
Toyota,Venza,2012,149415,Locally Used, 6300000,6.0,2500.0,,brown
Mercedes-Benz,GL-Class,2013,100261,Foreign Used, 14700000,,4700.0,,White
Toyota,Highlander,2003,338814,Locally Used, 3952000,,2400.0,,Blue
Jeep,Liberty,2008,114736,Locally Used, 3990000,,3700.0,,Silver
Nissan,Sentra,2015,149953,Foreign Used, 5775000,4.0,1800.0,,Silver
Toyota,Highlander,2003,338814,Locally Used, 3952000,,2400.0,,Blue
Ford,Edge,2011,186348,Foreign Used, 5250000,,3500.0,,Grey
Toyota,Camry,2014,311658,Foreign Used, 8400000,,3500.0,,Silver
Toyota,RAV4,2007,109651,Locally Used, 4056000,4.0,3500.0,,Silver
Toyota,Sienna,2007,206987,Locally Used, 4680000,,3500.0,,gold
Lexus,IS,2007,310755,Foreign Used, 4700000,,2500.0,,black
Toyota,Highlander,2009,184060,Locally Used, 6760000,6.0,3500.0,,Blue
Lexus,ES,2008,77326,Foreign Used, 6760000,,3500.0,,Silver
Toyota,Highlander,2013,143477,Locally Used, 9360000,,3500.0,,Grey
Toyota,Camry,2010,157496,Foreign Used, 4294500,6.0,2500.0,,Silver
Toyota,Highlander,2012,115987,Locally Used, 7800000,,3500.0,,black
Toyota,Highlander,2005,204586,Locally Used, 3640000,,3500.0,,Blue
Ford,Explorer,2013,219928,Locally Used, 6760000,,2000.0,,White
Toyota,Corolla,2009,326449,Locally Used, 3024000,4.0,1800.0,,Silver
Lexus,GX,2008,246608,Locally Used, 6300000,,4700.0,,black
Pontiac,Vibe,2009,189435,Foreign Used, 3990000,4.0,2400.0,,Grey
Toyota,Corolla,2009,332522,Locally Used, 3640000,,1800.0,,Silver
Lexus,ES,2007,146223,Locally Used, 4732000,,3500.0,,black
Mercedes-Benz,C300,2008,319974,Locally Used, 4888000,,3000.0,,Grey
Hyundai,Elantra,2013,263619,Foreign Used, 5408000,,1800.0,,Grey
Toyota,Sienna,2011,140138,Foreign Used, 6825000,,3500.0,,black
Hyundai,Sonata,2014,243435,Foreign Used, 7280000,4.0,2400.0,,Red
Mercedes-Benz,M Class,2011,146652,Locally Used, 5145000,,3500.0,,black
Lexus,RX 350,2007,213992,Foreign Used, 5565000,,3500.0,,gold
Lexus,GS,2006,167329,Locally Used, 3328000,,3000.0,,black
Land Rover,Lr3,2006,141123,Locally Used, 3680000,,4000.0,,Green
Mercedes-Benz,E350,2013,79024,Locally Used, 5250000,,3500.0,,black
Toyota,Highlander,2005,204586,Locally Used, 3640000,,3500.0,,Blue
Lexus,RX 330,2004,247254,Locally Used, 4472000,,3300.0,,Silver
Land Rover,Range Rover,2009,55181,Locally Used, 9150000,,4600.0,,black
Toyota,Camry,2011,160002,Locally Used, 3952000,,2500.0,,Grey
Toyota,Camry,2007,122857,Locally Used, 3120000,,2400.0,,Grey
Toyota,RAV4,2014,69987,Locally Used, 9360000,,3500.0,,black
Land Rover,Range Rover,2011,100097,Locally Used, 10920000,,3500.0,,black
Toyota,Camry,2020,67067,Foreign Used, 13800000,,2500.0,,Silver
Lexus,ES,2007,136872,Locally Used, 3570000,,3500.0,,brown
Lexus,GS,2007,247223,Locally Used, 3360000,6.0,3500.0,,Grey
Lexus,GX,2006,168388,Locally Used, 6760000,,4200.0,,black
Toyota,Highlander,2013,143477,Locally Used, 9360000,,3500.0,,Grey
Toyota,Land Cruiser Prado,2011,80869,Locally Used, 17680000,,2700.0,,black
Toyota,Camry,2012,151898,Foreign Used, 6760000,,2400.0,,Green
Toyota,RAV4,2008,333965,Foreign Used, 5250000,,2400.0,,black
Lexus,IS,2007,310755,Foreign Used, 4700000,,2500.0,,black
Lexus,ES,2008,77326,Foreign Used, 6760000,,3500.0,,Silver
Mercedes-Benz,C300,2015,82680,Locally Used, 12000000,,2500.0,,Blue
Toyota,Corolla,2009,200815,Locally Used, 4160000,,1800.0,,gold
Land Rover,Range Rover,2010,99973,Locally Used, 6240000,,5000.0,,black
Lexus,RX 350,2008,139481,Locally Used, 6240000,,3500.0,,Silver
Lexus,ES,2009,121574,Locally Used, 4368000,,3500.0,,Blue
Lexus,ES,2007,100121,Locally Used, 4264000,,3500.0,,Blue
Toyota,Matrix,2009,170458,Foreign Used, 4300000,4.0,2400.0,,White
Toyota,Highlander,2011,240911,Locally Used, 8944000,,3500.0,,White
Toyota,Corolla,2011,99371,Locally Used, 3640000,,1800.0,,black
Toyota,RAV4,2007,109651,Locally Used, 4056000,4.0,3500.0,,Silver
Lexus,IS,2015,62274,Foreign Used, 13520000,,2500.0,,White
Toyota,Corolla,2009,200815,Locally Used, 4160000,,1800.0,,gold
Hyundai,Santa Fe,2007,276589,Foreign Used, 3380000,,2700.0,,Silver
Toyota,Camry,2004,194133,Foreign Used, 3536000,4.0,2400.0,,White
Lexus,ES,2004,226649,Locally Used, 3016000,,3300.0,,black
Toyota,Camry,2013,104763,Foreign Used, 6595000,,2800.0,,black
Toyota,Corolla,2011,99371,Locally Used, 3640000,,1800.0,,black
Toyota,RAV4,2007,109651,Locally Used, 4056000,4.0,3500.0,,Silver
Toyota,Camry,2007,322278,Locally Used, 3852000,,3500.0,,Grey
Toyota,Camry,2012,117040,Locally Used, 4410000,4.0,3500.0,,black
Lexus,ES,2011,139744,Foreign Used, 6718750,,3500.0,,gold
Toyota,Camry,2013,224716,Foreign Used, 5775000,,2500.0,,Silver
Lexus,ES,2007,147470,Locally Used, 6240000,,3500.0,,gold
Mercedes-Benz,C300,2011,200657,Foreign Used, 6780000,,3000.0,,black
Toyota,Camry,2011,301735,Foreign Used, 5408000,,2500.0,,Blue
Toyota,Corolla,2014,161613,Locally Used, 5040000,,1800.0,,Green
Toyota,Highlander,2004,228822,Locally Used, 3120000,4.0,3300.0,,Silver
Toyota,Camry,2012,144198,Foreign Used, 6760000,,2500.0,,Red
Land Rover,Range Rover,2014,88,Locally Used, 28200000,,3000.0,,gold
